clk,rst,sample,addend
1,1,0x0000,0x00
1,1,0x0000,0x00
1,0,0x0000,0x00
1,0,0x0089,0x03
1,0,0x0112,0x06
1,0,0x019B,0x09
1,0,0x0224,0x0C
1,0,0x02AD,0x0F
1,0,0x0336,0x12
1,0,0x03BF,0x15
1,0,0x0448,0x18
1,0,0x04D1,0x1B
1,0,0x055A,0x1E
1,0,0x05E3,0x21
1,0,0x066C,0x24
1,0,0x06F5,0x27
1,0,0x077E,0x2A
1,0,0x0807,0x2D
1,0,0x0890,0x30
1,0,0x0919,0x33
1,0,0x09A2,0x36
1,0,0x0A2B,0x39
1,0,0x0AB4,0x3C
1,0,0x0B3D,0x3F
1,0,0x0BC6,0x42
1,0,0x0C4F,0x45
1,0,0x0CD8,0x48
1,0,0x0D61,0x4B
1,0,0x0DEA,0x4E
1,0,0x0E73,0x51
1,0,0x0EFC,0x54
1,0,0x0F85,0x57
1,0,0x100E,0x5A
1,0,0x1097,0x5D
1,0,0x1120,0x60
1,0,0x11A9,0x63
1,0,0x1232,0x66
1,0,0x12BB,0x69
1,0,0x1344,0x6C
1,0,0x13CD,0x6F
1,0,0x1456,0x72
1,0,0x14DF,0x75
1,0,0x00FF,0xF0
1,0,0x01FF,0xF1
1,0,0x02FF,0xF2
1,0,0x03FF,0xF3
1,0,0x04FF,0xF4
1,0,0x05FF,0xF5
1,0,0x06FF,0xF6
1,0,0x07FF,0xF7
1,0,0x08FF,0xF8
1,0,0x09FF,0xF9
1,0,0x0AFF,0xFA
1,0,0x0BFF,0xFB
1,0,0x0CFF,0xFC
1,0,0x0DFF,0xFD
1,0,0x0EFF,0xFE
1,0,0x0FFF,0xFF
1,0,0x10FF,0xF0
1,0,0x11FF,0xF1
1,0,0x12FF,0xF2
1,0,0x13FF,0xF3
1,0,0x14FF,0xF4
1,0,0x15FF,0xF5
1,0,0x16FF,0xF6
1,0,0x17FF,0xF7
1,0,0x18FF,0xF8
1,0,0x19FF,0xF9
1,0,0x1AFF,0xFA
1,0,0x1BFF,0xFB
1,0,0x1CFF,0xFC
1,0,0x1DFF,0xFD
1,0,0x1EFF,0xFE
1,0,0x1FFF,0xFF
1,0,0x20FF,0xF0
1,0,0x21FF,0xF1
1,0,0x22FF,0xF2
1,0,0x23FF,0xF3
1,0,0x24FF,0xF4
1,0,0x25FF,0xF5
1,0,0x26FF,0xF6
1,0,0x27FF,0xF7
1,0,0x5555,0x01
1,0,0xAAAA,0x02
1,0,0x5555,0x04
1,0,0xAAAA,0x08
1,0,0x5555,0x10
1,0,0xAAAA,0x20
1,0,0x5555,0x40
1,0,0xAAAA,0x80
1,0,0x5555,0x01
1,0,0xAAAA,0x02
1,0,0x5555,0x04
1,0,0xAAAA,0x08
1,0,0x5555,0x10
1,0,0xAAAA,0x20
1,0,0x5555,0x40
1,0,0xAAAA,0x80
1,0,0x0001,0xFF
1,0,0x0002,0xFF
1,0,0x0004,0xFF
1,0,0x0008,0xFF
1,0,0x0010,0xFF
1,0,0x0020,0xFF
1,0,0x0040,0xFF
1,0,0x0080,0xFF
1,0,0x0100,0xFF
1,0,0x0200,0xFF
1,0,0x0400,0xFF
1,0,0x0800,0xFF
1,0,0x1000,0xFF
1,0,0x2000,0xFF
1,0,0x4000,0xFF
1,0,0x8000,0xFF
1,0,0x0080,0x80
1,0,0x0081,0x81
1,0,0x0082,0x82
1,0,0x0083,0x83
1,0,0x0084,0x84
1,0,0x0085,0x85
1,0,0x0086,0x86
1,0,0x0087,0x87
1,0,0x0088,0x88
1,0,0x0089,0x89
1,0,0x008A,0x8A
1,0,0x008B,0x8B
1,0,0x008C,0x8C
1,0,0x008D,0x8D
1,0,0x008E,0x8E
1,0,0x008F,0x8F
1,0,0x0090,0x90
1,0,0x0091,0x91
1,0,0x0092,0x92
1,0,0x0093,0x93
1,0,0x996A,0x61
1,0,0x829D,0xBD
1,0,0x69BC,0x94
1,0,0xE24F,0xB2
1,0,0x30AA,0x2F
1,0,0xF77F,0x20
1,0,0xFC0A,0x06
1,0,0xBC9F,0x02
1,0,0xAC7D,0x41
1,0,0x4B66,0x8E
1,0,0x6358,0x2B
1,0,0x3A18,0x3D
1,0,0xDD43,0x8A
1,0,0x2147,0xCB
1,0,0xB624,0x9D
1,0,0x5BEA,0x1F
1,0,0x1284,0xE2
1,0,0x3699,0xC3
1,0,0xEF08,0x89
1,0,0x7A25,0x1E
1,0,0xB4E9,0xB6
1,0,0x40DD,0x5D
1,0,0x0427,0x53
1,0,0xD64D,0xB5
1,0,0x4BFD,0x92
1,0,0x3F5F,0x8C
1,0,0x9B41,0x35
1,0,0x405F,0x4F
1,0,0x2B8E,0x57
1,0,0xFAB5,0xCD
1,0,0x0785,0x14
1,0,0x74ED,0xE1
1,0,0x0B7B,0xEA
1,0,0x26BE,0x23
1,0,0x8307,0x88
1,0,0xB173,0x74
1,0,0x6F94,0x88
1,0,0x6EF0,0x76
1,0,0x169A,0x94
1,0,0x2A01,0x66
1,0,0xBC03,0x63
1,0,0x3DE0,0xB8
1,0,0x407C,0x47
1,0,0x5C1E,0xF4
1,0,0x21B8,0x0F
1,0,0xA96A,0xEB
1,0,0x8C6E,0xD4
1,0,0xB1D2,0xA4
1,0,0x2D91,0x50
1,0,0x950D,0x12
1,0,0xDD1B,0xEE
1,0,0x140C,0xBB
1,0,0xF8E1,0x1F
1,0,0x7891,0xD8
1,0,0x6F7E,0xA2
1,0,0x4637,0x9F
1,0,0x1FA3,0xA3
1,0,0x0411,0x42
1,0,0xE6F2,0x65
1,0,0x17DD,0x02
1,0,0x0000,0x00
1,0,0xFFFF,0xFF
1,0,0x1234,0x56
1,0,0x00FF,0x01
1,0,0x007F,0x01
1,0,0x8000,0x00
1,0,0xDEAD,0xBE
1,0,0xCAFE,0xEF
